Tp,Hs,Uw,Op
6.82,2.28,14.6616666666667,1
6.68,2.3,13.4516666666667,1
7.16,2.18,12.5633333333333,1
7.35,2.15,12.045,1
7.14,1.85,10.57,1
7.51,1.61,8.64,1
5.29,1.39,7.84333333333333,1
5.94,1.38,9.735,1
4.85,1.27,8.26166666666667,1
5.34,1.16,7.01,1
5.96,1.24,5.24,1
5.99,1.15,4.29833333333333,1
5.78,1.08,4.16666666666667,1
5.87,1.1,4.26,1
5.77,1.01,4.54833333333333,1
5.47,0.99,5.84833333333333,1
5.79,1.07,5.705,1
5.86,1.02,6.68166666666667,1
5.76,1.04,6.81333333333333,1
5.98,0.95,6.23333333333333,1
6.27,0.91,6.01333333333333,1
5.66,0.95,6.65833333333333,1
4.82,0.98,6.925,1
6.2,0.93,6.64,1
4.56,1.02,7.14166666666667,1
4.16,0.96,7.595,1
5.12,0.98,8.60166666666667,1
4.29,1.09,9.86333333333333,1
4.39,1.21,11.1,1
4.71,1.25,10.695,1
4.72,1.11,7.17833333333333,1
4.51,0.97,7.27333333333333,1
4.92,0.98,8.23,1
4.71,0.91,7.57166666666667,1
4.54,0.9,8.21,1
4.59,0.96,9.42333333333333,1
4.75,1.17,7.845,1
4.86,1.11,9.605,1
4.95,1.3,10.2783333333333,1
5.27,1.45,10.1333333333333,1
5.33,1.41,8.675,1
5.54,1.41,8.42,1
5.8,1.36,8.95,1
5.6,1.33,11.0183333333333,1
4.6,1.4,11.525,1
5.35,1.4,9.39166666666667,1
6.12,1.51,7.50666666666667,1
6.08,1.54,11.5566666666667,1
6.25,1.29,9.53333333333333,1
5.8,1.54,12.34,1
5.92,1.71,13.3733333333333,1
5.97,1.76,13.73,1
5.99,1.81,13.8,1
5.87,1.79,13.6783333333333,1
5.79,1.75,13.305,1
5.79,1.75,12.9483333333333,1
6.86,1.95,12.4083333333333,1
7.15,1.95,11.1183333333333,1
7.29,1.91,9.85166666666667,1
7.14,1.78,8.54666666666667,1
7.06,1.65,6.8,1
6.81,1.6,6.48333333333333,1
6.52,1.55,6.86833333333333,1
6.14,1.43,6.49,1
5.96,1.46,6.14666666666667,1
5.81,1.3,7.57166666666667,1
6.23,1.29,8.31666666666667,1
